,docid,firstpub,date,birthdate,recept,genretags,enumcron,nationality,gender,author,title
1393,njp.32101068142080,1800,1800,1800,,fic,v.2,,unknown,"Linley, W.",Forbidden apartments
1394,nyp.33433074955026,1800,1800,1800,,fic,v. 2,,male,"Lathom, Francis,",Men and manners
1395,mdp.39015078555755,1800,1800,1800,,fic,,,male,"Defoe, Daniel,",The life and adventures of Robinson Crusoe
1396,nyp.33433074955034,1800,1800,1800,,fic,v. 1,,male,"Lathom, Francis,",Men and manners
1397,mdp.39015078565473,1800,1800,1800,,fic,,,male,"Swift, Jonathan,","The travels of Lemuel Gulliver, into several remote nations of the world;"
1398,hvd.hn2he2,1800,1800,1800,,fic,,,female,"Helme, Elizabeth,",Instructive rambles in London and the adjacent villages
1399,uiuo.ark+=13960=t7cr6hq4j,1800,1800,1800,,fic,v.1,,female,"Hamilton, Elizabeth,",Memoirs of modern philosophers
1400,uc2.ark+=13960=t9g44z656,1800,1800,1800,,bio,v.4,,male,"Johnson, Samuel,",The lives of the most eminent English poets;
1401,mdp.39015073763404,1800,1800,1800,,bio,v.2,,male,"Coxe, William,","Memoirs of the life and administration of Sir Robert Walpole, earl of Orford"
1402,nnc1.0022686053,1800,1800,1800,,bio,v.2,,male,"Chesterfield, Philip Dormer Stanhope,",Letters
1403,mdp.39015000597339,1800,1800,1800,,poe,v.1,,male,"Ramsay, Allan,",The poems of Allan Ramsay
1404,mdp.39015028770900,1800,1800,1800,,poe,,,male,"Bowles, William Lisle,",Sonnets
1405,uc1.b162437,1800,1800,1800,,poe,,,male,"Dunster, Charles,",Considerations on Milton's early reading
1406,njp.32101064631771,1801,1801,1801,,fic,v.2,,unknown,"Sickelmore, Richard.",Raymond
1407,uiuo.ark+=13960=t6b28ds6f,1801,1801,1801,,fic,v.5,,female,"Acton, Eugenia de,",The microcosm
1408,njp.32101064631763,1801,1801,1801,,fic,v.1,,unknown,"Sickelmore, Richard.",Raymond
1409,nyp.33433074968227,1801,1801,1801,,fic,,,male,"Disraeli, Isaac,",Romances
1410,njp.32101065836577,1801,1801,1801,,fic,vol.3,,mostly_female,"Meeke, Mary,",Which is the man?
1411,njp.32101074210913,1801,1801,1801,,fic,v.1,,female,"Williams, Helen Maria,",Sketches of the state of manners and opinions in the French republic
1412,njp.32101068167186,1801,1801,1801,,fic,vol.2,,male,"Dallas, Robert Charles,",Percival
1413,njp.32101019096229,1801,1801,1801,,bio,<blank>,,male,"Stewart, Dugald,",Account of the life and writings of William Robertson
1414,mdp.39015065103650,1801,1801,1801,,bio,v.1,,male,"MacLaurin, Colin,",A treatise on fluxions
1415,uc2.ark+=13960=t5h99cd3q,1801,1801,1801,,poe,,,male,"Whitefield, George,",A collection of hymns for social worship
1416,mdp.39015073316260,1801,1801,1801,,poe,v.1,,male,"Burges, James Bland,",Richard the First
1417,nyp.33433074860341,1801,1801,1801,,poe,v. 1,,male,"Macneill, Hector,","The poetical works of Hector Macneill, Esq"
1418,nyp.33433074954987,1802,1802,1802,,fic,v. 5,,unknown,"Cullen, Margaret.",Home
1419,dul1.ark+=13960=t4vh67297,1802,1802,1802,,fic,v.2,,unknown,"Grafigny,",Letters of a Peruvian princess
1420,uc2.ark+=13960=t4zg6kj6s,1802,1802,1802,,bio,<blank>,,unknown,<blank>,The Thespian dictionary;
1421,mdp.39015050663445,1802,1802,1802,,bio,v.1,,unknown,"Granger, William.","The new wonderful museum, and extraordinary magazine"
1422,yale.39002032252091,1802,1802,1802,,bio,v.4,,unknown,"Soulavie, Jean-Louis,","Historical and political memoirs of the reign of Lewis XVI. from his marriage to his death, founded on a variety of authentic documents ... and on the secret papers discovered, after the 10th of August, 1792, in the closets of the king at Versailles and the Tuileries"
1423,mdp.39015008297577,1802,1802,1802,,bio,<blank>,,male,"Coxe, William,","Memoirs of Horatio, lord Walpole"
1424,uc2.ark+=13960=t5m904j15,1802,1802,1802,,poe,,,male,"Morris, Charles,","Songs, political and convivial"
1425,hvd.ah696q,1802,1802,1802,,poe,,,male,"Watts, Isaac,",The Psalms of David
1426,mdp.39015033368047,1802,1802,1802,,poe,v.1,,male,"Dante Alighieri,",The Divina commedia of Dante Alighieri
1427,hvd.rslej2,1803,1803,1803,,fic,v.3,,unknown,"Ségur, Alexandre-Joseph-Pierre,",Women: their condition and influence in society
1428,uc1.b278751,1803,1803,1803,,fic,v.1,,unknown,"Montjoye,",D'Aveyro;
1429,hvd.rslej1,1803,1803,1803,,fic,v.2,,unknown,"Ségur, Alexandre-Joseph-Pierre,",Women: their condition and influence in society
1430,nyp.33433074955364,1803,1803,1803,,fic,,,female,"Reeve, Clara,",The two mentors
1431,mdp.39015005633568,1803,1803,1803,,fic,v.2,,female,"Sterne, Laurence,",The works of Laurence Sterne
1432,uiuo.ark+=13960=t1pg2683c,1803,1803,1803,,fic,v.2,,unknown,"Lyttleton, M.","Peregrine, or, The fool of fortune"
1433,hvd.hxphxt,1803,1803,1803,,bio,v.3,,mostly_female,"Hays, Mary,",Female biography;
1434,njp.32101037454269,1803,1803,1803,,bio,<blank>,,male,"Priestley, Joseph,",[A chart of biography
1435,hvd.rslysm,1803,1803,1803,,bio,<blank>,,mostly_female,"Hays, Mary,",Female biography;
1436,hvd.hxjh2k,1803,1803,1803,,bio,<blank>,,male,"Rutter,Thomas,",Some account of the religious experience and gospel labours of Thomas Rutter
1437,nyp.33433082360664,1803,1803,1803,,bio,v. 2,,male,"Godwin, William,","Life of Geoffrey Chaucer, the early English poet"
1438,hvd.hn1fuf,1803,1803,1803,,poe,v.2,,male,"Wilson, Charles Henry,",The myrtle and vine;
1439,mdp.39015006952058,1803,1803,1803,,poe,v.4,,unknown,,"The Poetical register, and repository of fugitive poetry for 1801-11"
1440,mdp.39015065448022,1803,1803,1803,,poe,v.2,,male,"Macpherson, James,",The poems of Ossian
1441,uc2.ark+=13960=t0cv4dz39,1803,1803,1803,,poe,,,mostly_female,"Sewell, Mary Young,",Poems
1442,uc2.ark+=13960=t7xk8943z,1803,1803,1803,,poe,,,male,"Lowe, John,",Poems
1443,mdp.39015055315983,1803,1803,1803,,poe,v.1,,unknown,,"The Poetical register, and repository of fugitive poetry for 1801-11"
1444,nyp.33433074867536,1803,1803,1803,,poe,,,male,"Maurice, Thomas,",Select poems
1445,ucm.5321944373,1804,1804,1804,,fic,,,male,"Fénelon, François de Salignac de La Mothe-,","The adventures of Telemachus, the son of Ulysses"
1446,nyp.33433074852538,1804,1804,1804,,fic,v. 3,,female,"Hamilton, Elizabeth,",Memoirs of modern philosophers
1447,nyp.33433076095094,1804,1804,1804,,fic,v. 5,,female,"Sterne, Laurence,","The works of Laurence Sterne, A. M"
1448,uc1.b248232,1804,1804,1804,,fic,,,unknown,,The affecting history of Louisa
1449,uiuo.ark+=13960=t1pg2cj2j,1804,1804,1804,,fic,v.1,,female,"Edgeworth, Maria,",Popular tales
1450,mdp.39015063571783,1804,1804,1804,,fic,v.1,,female,"Lee, Sophia,",The life of a lover
1451,nyp.33433074377445,1804,1804,1804,,bio,v. 6,,unknown,Plutarch.,Plutarch's lives
1452,mdp.39015038697986,1804,1804,1804,,bio,v.4 1804,,male,"Beatson, Robert,","Naval and military memoirs of Great Britain, from 1727 to 1783"
1453,njp.32101007784802,1804,1804,1804,,bio,vol.4,,male,"Godwin, William,",Life of Geoffrey Chaucer
1454,nyp.33433082406905,1804,1804,1804,,bio,v. 3,,male,"Godwin, William,",Life of Geoffrey Chaucer
1455,nyp.33433082334974,1804,1804,1804,,bio,<blank>,,male,"Van Ness, William Peter,","The speeches at full length of Mr. Van Ness, Mr. Caines"
1456,yale.39002032545460,1804,1804,1804,,bio,v.5,,male,"Beatson, Robert,","Naval and military memoirs of Great Britain, from 1727 to 1783"
1457,uc1.l0075932327,1804,1804,1804,,bio,<blank>,,unknown,<blank>,The revolutionary Plutarch
1458,uva.x001132736,1804,1804,1804,,bio,V.3,,male,"Marshall, John,","The life of George Washington, commander in chief of the American forces"
1459,mdp.39015002712530,1804,1804,1804,,bio,v.4,,male,"Richardson, Samuel,",The correspondence of Samuel Richardson
1460,mdp.39015002712555,1804,1804,1804,,bio,v.2,,male,"Richardson, Samuel,",The correspondence of Samuel Richardson
1461,uc2.ark+=13960=t46q1xq5c,1804,1804,1804,,bio,v.1,,unknown,Stewarton.,The revolutionary Plutarch
1462,nyp.33433082414719,1804,1804,1804,,bio,v. 1,,male,"Marshall, John,",The life of George Washington
1463,hvd.hwf22x,1804,1804,1804,,poe,v.2,,male,"Thomson, James,",The poetical works of James Thomson
1464,nyp.33433074923297,1804,1804,1804,,poe,,,female,"De Fleury, Maria,","Divine poems and essays, on various subjects"
1465,nyp.33433074849518,1804,1804,1804,,poe,,,male,"Pope, Alexander,",The whole poetical works of Alexander Pope
1466,hvd.32044107245334,1804,1804,1804,,poe,v.2,,male,"Andrews, Henry Charles,","The heathery; or, A monograph of the genus erica"
1467,uc2.ark+=13960=t6k071h7w,1804,1804,1804,,poe,,,male,"Colman, George,",Broad grins;
1468,hvd.hwexi7,1804,1804,1804,,poe,v.4,,male,"Milton, John,",The poetical works of John Milton
1469,nyp.33433074869292,1804,1804,1804,,poe,,,male,"Wodhull, Michael,",Poems
1470,uc1.b4107900,1805,1805,1805,,fic,v.3,,male,"Holcroft, Thomas,",Memoirs of Bryan Perdue
1471,nyp.33433074878988,1805,1805,1805,,fic,,,male,"Lucas, William,","The duellists, or, Men of honour"
1472,mdp.39015078547430,1805,1805,1805,,fic,,,unknown,"Daubenton,",Zelia in the desert;
1473,hvd.32044029893195,1805,1805,1805,,fic,v.1,,female,"Guyon, Jeanne Marie Bouvier de La Motte,",The life of Lady Guion
1474,uiuo.ark+=13960=t9474p035,1805,1805,1805,,fic,v.1,,unknown,"Charlton, Mary.",The homicide
1475,njp.32101038142988,1805,1805,1805,,bio,<blank>,,male,"Johnson, Samuel,",The lives of the most eminent English poets
1476,mdp.39015013006351,1805,1805,1805,,bio,<blank>,,male,"Greswell, William Parr,","Memoirs of Angelus Politianus, Joannes Picus of Mirandula, Actius Sincerus Sannazarius, Petrus Bembus, Hieronymus Fracastorius, Marcus Antonius Flaminius, and the Amalthei"
1477,uc2.ark+=13960=t05x26h51,1805,1805,1805,,bio,v.2,,unknown,<blank>,"Naval biography, or, The history and lives of distinguished characters in the British Navy, from the earliest period of history to the present time"
1478,mdp.39015063817772,1805,1805,1805,,bio,<blank>,,male,"Stark, John,","Biographia scotica; or, Scottish biographical dictionary;"
1479,njp.32101065101162,1805,1805,1805,,bio,<blank>,,male,"Story, Thomas,",The life of Thomas Story
1480,nyp.33433082392139,1805,1805,1805,,bio,<blank>,,male,"Francklin, William,",Military memoirs of Mr. George Thomas
1481,mdp.39015063610631,1805,1805,1805,,bio,v.2,,unknown,Stewarton.,The female revolutionary Plutarch
1482,hvd.hwbfn3,1805,1805,1805,,bio,v.4,,unknown,"Marmontel, Jean-François,",Memoirs of Marmontel
1483,nyp.33433074947981,1805,1805,1805,,poe,v. 4,,male,"Young, Edward,",The poetical works of the Rev. Dr. Edward Young
1484,uc2.ark+=13960=t8nc5vh90,1805,1805,1805,,poe,v.002,,male,"Macpherson, James,",The poems of Ossian
1485,dul1.ark+=13960=t6c25nm87,1806,1806,1806,,fic,,,unknown,"Selden, Catharine.","The English nun, or, The sorrows of Edward and Louisa"
1486,mdp.39015063950250,1806,1806,1806,,fic,v.3,,female,"Radcliffe, Ann Ward,",The mysteries of Udolpho
1487,umn.31951d00753861h,1806,1806,1806,,fic,,,female,"Collier, Jane,",An essay on the art of ingeniously tormenting;
1488,njp.32101032329086,1806,1806,1806,,fic,v.2,,unknown,"Lewis, M. G.",Feudal tyrants;
1489,uva.x000443900,1806,1806,1806,,bio,<blank>,,male,"Cook, William,","Memoirs of Charles Macklin, comedian"
1490,loc.ark+=13960=t4rj4px80,1806,1806,1806,,bio,<blank>,,unknown,<blank>,The Quid mirror. The first part
1491,uc2.ark+=13960=t14m94n5h,1806,1806,1806,,bio,v.2,,male,"Pitt, William,","The speeches of the Right Honourable William Pitt, in the House of commons"
1492,nyp.33433081650255,1806,1806,1806,,bio,v.2,,unknown,"MacDonald, Roger.",The British martial register
1493,uc1.$b712954,1806,1806,1806,,bio,<blank>,,female,"Guyon, Jeanne Marie Bouvier de La Motte,",The exemplary life of the pious Lady Guion
1494,nyp.33433069350423,1806,1806,1806,,bio,v. 1,,female,"Grant, Anne MacVicar,",Letters from the mountains
1495,nyp.33433081650529,1806,1806,1806,,bio,v.3,,unknown,"MacDonald, Roger.",The British martial register
1496,wu.89094712072,1806,1806,1806,,bio,v.2,,male,"Cayley, Arthur,","The life of Sir Walter Ralegh, knt"
1497,nyp.33433067281117,1806,1806,1806,,bio,v. 3,,unknown,"Wilson, G. H.",The eccentric mirror
1498,nyp.33433081867453,1806,1806,1806,,bio,<blank>,,unknown,"Hassell, J.",Memoirs of the life of the late George Morland;
1499,nyp.33433068290513,1806,1806,1806,,bio,v. 6,,male,"Roscoe, William,",The life and pontificate of Leo the Tenth
1500,wu.89094712064,1806,1806,1806,,bio,v.1,,male,"Cayley, Arthur,","The life of Sir Walter Ralegh, knt"
1501,loc.ark+=13960=t4kk9vq06,1806,1806,1806,,bio,<blank>,,male,"Cumberland, Richard,",Memoirs of Richard Cumberland
1502,uc1.b3547042,1806,1806,1806,,poe,v.2,,unknown,,Popular ballads and songs
1503,hvd.hx63sv,1806,1806,1806,,poe,v.2,,male,"Scott, Walter,","The works of Walter Scott, Esq"
1504,nyp.33433074876073,1806,1806,1806,,poe,,,unknown,,The wreath
1505,uc2.ark+=13960=t8jd4t85j,1806,1806,1806,,poe,,,unknown,"Beck, Thomas.",The age of frivolity
1506,uc1.b157846,1806,1806,1806,,poe,,,male,"Mannings, John Spelman.",Cromer
1507,uc2.ark+=13960=t01z44z9t,1806,1806,1806,,poe,,,unknown,"Johnson, B.,",Original poems on various subjects
1508,uc1.$b397628,1806,1806,1806,,poe,v.2,,unknown,,The British Martial;
1509,hvd.hxg96j,1806,1806,1806,,poe,,,unknown,,Translations chiefly from the Greek anthology
1510,uc2.ark+=13960=t9w09145c,1806,1806,1806,,poe,v.1,,unknown,,Popular ballads and songs
1511,njp.32101072858895,1806,1806,1806,,poe,v.1,,unknown,,The Lyre of love
1512,hvd.hn6ngk,1806,1806,1806,,poe,,,male,"Gay, John,","The poetical works of John Gay, in three volumes"
1513,nyp.33433074830799,1806,1806,1806,,poe,v. 1,,male,"Cowper, William,",Poems
1514,nnc1.1002352753,1806,1806,1806,,poe,,,male,"Pindar, Peter,","Tristia; or, The sorrows of Peter"
1515,wu.89069926426,1806,1806,1806,,poe,,,unknown,,A Select collection of epitaphs and monumental inscriptions
1516,nyp.33433074831326,1806,1806,1806,,poe,v. 3,,male,"Cowper, William,",The poetical works of William Cowper
1517,nyp.33433075798169,1807,1807,1807,,fic,,,unknown,,The memoirs of Charles Westcote
1518,njp.32101060186325,1807,1807,1807,,fic,,,female,"Martin, Maria,",History of the captivity and sufferings of Mrs. Maria Martin
1519,nyp.33433074378864,1807,1807,1807,,fic,v. 3,,unknown,,Palmerin of England
1520,uiuo.ark+=13960=t3805qq41,1807,1807,1807,,fic,v.2,,male,"Sedley, Charles,","The infidel mother: or, Three winters in London"
1521,uiuo.ark+=13960=t5bc49403,1807,1807,1807,,fic,v.1,,unknown,,The Convent of Notre Dame
1522,uc1.b4056544,1807,1807,1807,,fic,v.1,,unknown,,Palmerin of England
1523,nyp.33433067303937,1807,1807,1807,,fic,v. 1,,female,"Roche, Regina Maria,","The discarded son; or, Haunt of the banditti"
1524,uiuo.ark+=13960=t3zs38t6b,1807,1807,1807,,fic,v.3,,male,"Maturin, Charles Robert,","Fatal revenge; or, The family of Montorio"
1525,uiuo.ark+=13960=t0vq3h35w,1807,1807,1807,,fic,v.5,,male,"Mortimer, Edward,",The friar Hildargo
1526,uc1.b4056545,1807,1807,1807,,fic,v.2,,unknown,,Palmerin of England
1527,uiuo.ark+=13960=t6c25fw6c,1807,1807,1807,,fic,v.2,,male,"Mortimer, Edward,",The friar Hildargo
1528,nyp.33433087358531,1807,1807,1807,,fic,v. 5,,unknown,,"Classic tales, serious and lively"
1529,uva.x000980249,1807,1807,1807,,fic,V.3,,male,"Rabelais, François,",The works of Francis Rabelais
1530,uiuo.ark+=13960=t9183z33v,1807,1807,1807,,fic,v.2,,unknown,"Surr, T. S.",The mask of fashion;
1531,mdp.39015014840691,1807,1807,1807,,bio,v.2,,male,"Sidney, Philip,",Aphorisms of Sir Philip Sidney;
1532,nyp.33433082417159,1807,1807,1807,,bio,v. 1 (IN A.L.A INDEX),,unknown,<blank>,The historic gallery of portraits and paintings;
1533,wu.89097426803,1807,1807,1807,,bio,v.2,,male,"Woodhouselee, Alexander Fraser Tytler,",Memoirs of the life and writings of the Honourable Henry Home of Kames
1534,uc1.$b370978,1807,1807,1807,,poe,,,male,"Glenelg, Charles Grant,",A poem on the restoration of learning in the East;
1535,uc2.ark+=13960=t56d5sq5d,1807,1807,1807,,poe,v.2,,unknown,"Roe, A. M.",Poems on several occasions;
1536,mdp.39015030716909,1807,1807,1807,,poe,,,male,"Tickell, Thomas,",The poetical works of Thomas Tickell
1537,uc2.ark+=13960=t7br8pd7g,1807,1807,1807,,poe,,,male,"Sharpe, Charles Kirkpatrick,","Metrical legends, and other poems"
1538,nyp.33433074897996,1807,1807,1807,,poe,v. 2,,male,"Moore, Thomas,","Epistles, odes, and other poems"
1539,uc2.ark+=13960=t7qn62s25,1807,1807,1807,,poe,,,unknown,,The uti possidetis and status quo;
1540,uc1.b3546671,1807,1807,1807,,poe,,,male,"Dermody, Thomas,",The harp of Erin
1541,njp.32101064790528,1808,1808,1808,,fic,vol. 2,,unknown,"St. John, Andrew.",Tales of former times
1542,dul1.ark+=13960=t9g45dw5x,1808,1808,1808,,fic,,,male,"Saint-Pierre, Bernardin de,",Pablo y Virginia
1543,mdp.39015064001236,1808,1808,1808,,fic,v.1,,unknown,,Sketches of character
1544,njp.32101069157459,1808,1808,1808,,fic,v.1,,unknown,"Cottin,",Clara
1545,hvd.hw2f4u,1808,1808,1808,,fic,,,male,"Goldsmith, Oliver,",The vicar of Wakefield
1546,njp.32101073590430,1808,1808,1808,,bio,v.3,,male,"Jortin, John,",The life of Erasmus
1547,mdp.39015065449707,1808,1808,1808,,bio,<blank>,,male,"Dalrymple, Hew Whiteford,","Minutes of the proceedings of the Court of Inquiry upon the Treaty of Armistice and Convention of Cintra, and upon the conduct, behaviour, and proceedings of Lieutenant-General Sir Hew Dalrymple Knt"
1548,nyp.33433067286207,1808,1808,1808,,bio,v. 1,,unknown,Stewarton.,The female revolutionary Plutarch
1549,nyp.33433067286223,1808,1808,1808,,bio,v. 3,,unknown,Stewarton.,The female revolutionary Plutarch
1550,uc1.b3316123,1808,1808,1808,,bio,v. 2,,male,"Jortin, John,",The life of Erasmus
1551,hvd.hxj44d,1808,1808,1808,,bio,<blank>,,unknown,"Tyng, Edward.","Memoirs of Edward Tyng, Esquire ... and of Hon. William Tyng"
1552,njp.32101007636747,1808,1808,1808,,poe,v.1,,male,"Cowper, William,",Poems
1553,njp.32101067173565,1808,1808,1808,,poe,,,male,"Scott, Walter,",The lay of the last minstrel;
1554,njp.32101068178662,1808,1808,1808,,poe,,,male,"Herbert, Charles,","Translations, imitations, and other poems"
1555,uc2.ark+=13960=t3rv0h77s,1808,1808,1808,,poe,v.03,,unknown,,The cabinet of poetry
1556,hvd.ah64c6,1808,1808,1808,,poe,,,male,"Richards, George,","Psalms, hymns and spiritual songs"
1557,mdp.39015073317821,1808,1808,1808,,poe,v.15,,male,"Dryden, John,",The works of John Dryden now first collected
1558,nyp.33433076035256,1808,1808,1808,,poe,,,female,"Murden, Eliza Crawley.",Poems
1559,nyp.33433074861141,1808,1808,1808,,poe,,,unknown,"Graham, D.","An impartial history of the rise, progress and extinction of the late rebellion in Britain in the years 1745 and 1746"
1560,hvd.hwkcvl,1808,1808,1808,,poe,v.1,,male,"Hurdis, James,",Poems
1561,nyp.33433082192760,1808,1808,1808,,poe,,,unknown,Aeschylus.,The tragedies of Aeschylus
1562,nyp.33433069359317,1809,1809,1809,,fic,v. 3,,male,"Hamilton, Anthony,",Memoirs of Count Grammont
1563,hvd.hn2gig,1809,1809,1809,,fic,,,unknown,"Sandham, Elizabeth.",The adventures of poor puss
1564,uc1.b287480,1809,1809,1809,,fic,v. 1,,male,"Moore, Thomas George.",The bachelor
1565,mdp.39015008830518,1809,1809,1809,,fic,v.2,,female,"Grant, Anne MacVicar,",Letters from the mountains;
1566,nyp.33433069323743,1809,1809,1809,,fic,v. 1-2,,unknown,"Regnault-Warin, J.-J.",The Magdalen churchyard
1567,nyp.33433074922729,1809,1809,1809,,fic,v. 2,,female,"Smith, Elizabeth,","Fragments, in prose and verse"
1568,uiuo.ark+=13960=t5v69t480,1809,1809,1809,,fic,v.3,,female,"Francis, Sophia L.","Angelo Guicciardini, or, The bandit of the Alps"
1569,nnc1.0111857374,1809,1809,1809,,fic,v.3,,male,"Le Sage, Alain René,",The adventures of Gil Blas of Santillane
1570,nyp.33433069350464,1809,1809,1809,,fic,v. 2,,female,"Grant, Anne MacVicar,",Letters from the mountains;
1571,nyp.33433081620100,1809,1809,1809,,bio,v.1,,unknown,"Pliny,",The letters of Pliny the Consul
1572,mdp.39015067116650,1809,1809,1809,,bio,<blank>,,male,"[Porter, Robert Ker]",Letters from Portugal and Spain
1573,nyp.33433081620092,1809,1809,1809,,bio,v.2,,unknown,"Pliny,",The letters of Pliny the Consul
1574,mdp.39015008573225,1809,1809,1809,,bio,<blank>,,female,"Russell, Rachel,",Letters of Lady Rachel Russell;
1575,wu.89094713773,1809,1809,1809,,bio,<blank>,,male,"Zouch, Thomas,",Memoirs of the life and writings of Sir Philip Sidney
1576,mdp.39015027528531,1809,1809,1809,,bio,<blank>,,female,"Jocelyn,",The life and acts of Saint Patrick
1577,mdp.39015066625818,1809,1809,1809,,poe,,,male,"Cowley, Abraham,",The works of Mr. A. Cowley;
1578,uc2.ark+=13960=t5x63s77s,1809,1809,1809,,poe,,,unknown,"Holford,",Wallace;
1579,uc2.ark+=13960=t2k64dz16,1809,1809,1809,,poe,,,male,"Buchanan, George,","The Franciscan friar, a satire;"
1580,njp.32101067645810,1809,1809,1809,,poe,,,male,"Hodgson, Francis,",Lady Jane Grey
1581,uc1.b3114454,1809,1809,1809,,poe,,,unknown,Homer.,The Iliad of Homer
1582,nyp.33433075840201,1810,1810,1810,,fic,v. 2,,unknown,"Pigault-Lebrun,",My Uncle Thomas
1583,uiuo.ark+=13960=t2k64tj09,1810,1810,1810,,fic,v.2,,unknown,"Cuthbertson, Catherine.",Forest of Montalbano
1584,hvd.hn4rcs,1810,1810,1810,,fic,v.3,,male,"Cervantes Saavedra, Miguel de,","The life and exploits of the ingenious gentleman, Don Quixote de la Mancha"
1585,uiuo.ark+=13960=t9572260h,1810,1810,1810,,fic,v.1,,unknown,"Scott, Honoria.","Amatory tales of Spain, France, Switzerland, and the Mediterranean"
1586,uiuo.ark+=13960=t6tx3wm62,1810,1810,1810,,fic,v.4,,unknown,"Walsh,","The officer's daughter; or, A visit to Ireland in 1790"
1587,hvd.hn4rct,1810,1810,1810,,fic,v.4,,male,"Cervantes Saavedra, Miguel de,","The life and exploits of the ingenious gentleman, Don Quixote de la Mancha"
1588,uiuo.ark+=13960=t8x92x07s,1810,1810,1810,,fic,v.3,,female,"Hatton, Ann Julia (Kemble)","Cambrian pictures, or, Every one has errors"
1589,nyp.33433075769988,1810,1810,1810,,fic,v. 3-4,,female,"Porter, Anna Maria,",Don Sebastian;
1590,nyp.33433075802441,1810,1810,1810,,fic,v. 2,,unknown,"Cottin,",The Saracen;
1591,uiuo.ark+=13960=t4mk6v722,1810,1810,1810,,fic,v.2,,unknown,,"Madness the rage; or, Memoirs of a man without a name"
1592,mdp.39015063630951,1810,1810,1810,,bio,<blank>,,male,"Newcome, William,",Observations on Our Lord's conduct as a divine instructor
1593,nnc2.ark+=13960=t2g73fm8j,1810,1810,1810,,bio,v. 4 1810,,male,"Wordsworth, Christopher,","Ecclesiastical biography, or, Lives of eminent men connected with the history of religion in England"
1594,nyp.33433082336466,1810,1810,1810,,bio,v. 1,,mostly_female,"Clarke, Mary Anne Thompson,",The rival princes;
1595,nyp.33433067304729,1810,1810,1810,,bio,v. 3,,unknown,<blank>,The Spectator
1596,wu.89097208052,1810,1810,1810,,bio,v.5,,male,"Wordsworth, Christopher,","Ecclesiastical biography, or, Lives of eminent men connected with the history of religion in England"
1597,loc.ark+=13960=t4kk9cs66,1810,1810,1810,,bio,<blank>,,male,"Newton, Thomas,","Speech of Mr. Newton delivered in the House of representatives of the United States, on the 3d January, 1810"
1598,hvd.hxjf9g,1810,1810,1810,,bio,v.1,,male,"Almon, John,","Anecdotes of the life of the Right Hon. William Pitt, earl of Chatham, and of the principal events of his time"
1599,mdp.39015073763511,1810,1810,1810,,bio,v.1,,male,"Almon, John,","Anecdotes of the life of the Right Honourable William Pitt, earl of Chatham"
1600,nyp.33433082336474,1810,1810,1810,,bio,v. 2,,mostly_female,"Clarke, Mary Anne Thompson,",The rival princes;
1601,nyp.33433067304794,1810,1810,1810,,bio,v. 10,,unknown,<blank>,The Spectator
1602,uc1.b3310845,1810,1810,1810,,poe,v. 4,,male,"Evans, Thomas,","Old ballads, historical and narrative"
1603,uc1.b3052355,1810,1810,1810,,poe,v. 14,,male,"Bell, John,",Bell's classical arrangement of fugitive poetry
1604,mdp.39015064366100,1810,1810,1810,,poe,,,male,"Dobell, John,",A new selection of seven hundred evangelical hymns
1605,nyp.33433076043607,1810,1810,1810,,poe,v. 11,,unknown,,"The Works of the English poets, from Chaucer to Cowper;"
1606,uc1.b3521595,1810,1810,1810,,poe,v.3 c.2,,unknown,,"The Works of the English poets, from Chaucer to Cowper;"
1607,nyp.33433076043581,1810,1810,1810,,poe,v. 9,,unknown,,"The Works of the English poets, from Chaucer to Cowper;"
1608,nyp.33433076035314,1810,1810,1810,,poe,,,male,"Shaw, John,",Poems
1609,uc2.ark+=13960=t5k934g9z,1810,1810,1810,,poe,v.2,,male,"Evans, Thomas,","Old ballads, historical and narrative, with some of modern date;"
1610,uiuo.ark+=13960=t9w09nn61,1811,1811,1811,,fic,v.1,,male,"Palmer, John,",Like master like man
1611,uc1.b112745,1811,1811,1811,,fic,v.4,,male,"Mason, William,",The works of William Mason
1612,nyp.33433067367551,1811,1811,1811,,fic,v. 8,,male,"Richardson, Samuel,",The history of Clarissa Harlowe
1613,njp.32101030687915,1811,1811,1811,,fic,,,unknown,"Vertot,",Histoire des révolutions de Suede
1614,uiuo.ark+=13960=t0zp4j72m,1811,1811,1811,,fic,v.3,,unknown,Lady.,Julia de Vienne
1615,nyp.33433082390042,1811,1811,1811,,bio,<blank>,,male,"Trotter, John Bernard,",Memoirs of the latter years of the Right Honorable Charles James Fox
1616,mdp.39015073722608,1811,1811,1811,,bio,v.2,,unknown,"Rogers, Elisa.",The lives of the twelve Caesars
1617,nyp.33433082387899,1811,1811,1811,,bio,<blank>,,male,"Lamb, Roger,",Memoir of his own life
1618,njp.32101068598463,1811,1811,1811,,bio,<blank>,,unknown,"Gilchrist, Octavius,","A letter to William Gifford, esq., on the late edition [by H. Weber] of Ford's plays"
1619,nyp.33433074914395,1811,1811,1811,,poe,,,male,"Broughton, John Cam Hobhouse,",The wonder of a week at Bath;
1620,hvd.32044077941987,1811,1811,1811,,poe,,,unknown,"Hart, J.",Hymns composed on various subjects
1621,uiuo.ark+=13960=t2t446x08,1812,1812,1812,,fic,v.1,,unknown,,"Malcolm Douglas, or, The Sibylline prophecy"
1622,nyp.33433075723399,1812,1812,1812,,fic,v. 3,,unknown,"Watson,","Rosamund, countess of Clarenstein"
